name,sex,event,age,bodyweightkg,weightclasskg,best3squatkg,best3benchkg,best3deadliftkg,totalkg,date
Inger Blikra,F,SBD,47.5,74.6,75,150.0,100.0,180.0,430.0,2009-12-19
Kim-Raino Rølvåg,M,SBD,22.5,72.9,75,175.0,140.0,200.0,515.0,2009-12-19
Edvard Heimen,M,SBD,26.5,93.3,105,212.5,180.0,250.0,642.5,2015-04-04
Jan Sjøl,M,SBD,49.5,92.2,100,190.0,130.0,240.0,560.0,2009-12-12
Espen Kolltveit,M,SBD,26.5,101.9,105,235.0,165.0,300.0,700.0,2023-01-02
Anna Nafisa Hjelle Skjenken,F,SBD,17.5,56.05,57,80.0,57.5,125.0,262.5,2016-04-29
Marthine Myhr,F,SBD,16.5,61.4,63,100.0,75.0,132.5,307.5,2016-04-29
Nikita Alslie,F,SBD,15.5,62.2,63,107.5,65.0,130.0,302.5,2016-04-29
Isabell Adolfsen,F,SBD,16.5,61.6,63,107.5,57.5,132.5,297.5,2016-04-29
Frida Aung,F,SBD,18.5,62.1,63,132.5,77.5,153.0,363.0,2016-04-29
Katrine Sundal Haune,F,SBD,20.5,62.15,63,135.0,75.0,140.0,350.0,2016-04-29
Elise Rosenborg,F,SBD,22.5,60.4,63,102.5,75.0,120.0,297.5,2016-04-29
Silje Haube,F,SBD,21.5,71.2,72,120.0,92.5,145.0,357.5,2016-04-29
